Penyakit,Keterangan
Reaksi Obat,"Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh penggunaan obat. ADR dapat terjadi setelah penggunaan obat dalam dosis tunggal atau jangka panjang, atau akibat kombinasi dua obat atau lebih."
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum suntik atau transfusi yang terkontaminasi. Malaria falciparum merupakan jenis malaria yang paling mematikan.
Alergi,"Alergi adalah respons sistem kekebalan terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Alergi dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan Anda adalah menjaga Anda tetap sehat dengan melawan patogen berbahaya."
Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid kurang aktif atau tiroid rendah, adalah kelainan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid."
Psoriasis,"Psoriasis adalah kelainan kulit umum yang berupa bercak tebal, merah, bergelombang dan ditutupi sisik keperakan. Mereka bisa muncul di mana saja, tapi kebanyakan muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat ditularkan dari orang ke orang. Kadang-kadang hal ini terjadi pada anggota keluarga yang sama."
GERD,"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang memengaruhi sfingter esofagus bagian bawah (LES), yaitu cincin otot antara esofagus dan lambung. Banyak orang, termasuk ibu hamil, menderita sakit maag atau gangguan pencernaan asam akibat GERD."
Kolestasis kronis,"Penyakit kolestatik kronis, baik yang terjadi pada masa bayi, masa kanak-kanak, atau dewasa, ditandai dengan gangguan transportasi asam empedu dari hati ke usus, yang pada sebagian besar kasus disebabkan oleh kerusakan primer pada epitel bilier."
hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan mempengaruhi kemampuan fungsi hati Anda.
Osteoartritis,Osteoartritis adalah bentuk radang sendi yang paling umum dan menyerang jutaan orang di seluruh dunia. Hal ini terjadi ketika tulang rawan pelindung yang menjadi bantalan ujung tulang Anda melemah seiring berjalannya waktu.
(vertigo) Vertigo Posisi Paroymsal,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab paling umum dari vertigo � sensasi tiba-tiba seperti Anda berputar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan pusing ringan hingga intens dalam waktu singkat.
Hipoglikemia,Hipoglikemia adalah suatu kondisi di mana kadar gula (glukosa) darah Anda lebih rendah dari biasanya. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering dikaitkan dengan pengobatan diabetes. Namun obat-obatan lain dan berbagai kondisi � banyak yang jarang terjadi � dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes.
Jerawat,"Akne vulgaris adalah terbentuknya komedo, papula, pustula, nodul, dan/atau kista akibat penyumbatan dan peradangan pada unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang tubuh bagian atas. Ini paling sering menyerang remaja."
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan sebagai energi."
Impetigo,"Impetigo (im-puh-TIE-go) adalah infeksi kulit yang umum dan sangat menular yang terutama menyerang bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah pada wajah, terutama di sekitar hidung dan mulut anak, serta pada tangan dan kaki. Lukanya pecah dan timbul kerak berwarna madu."
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah suatu kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menimbulkan gejala."
Penyakit tukak lambung,"Penyakit tukak lambung (PUD) adalah pecahnya lapisan dalam lambung, bagian pertama usus kecil, atau terkadang esofagus bagian bawah. Tukak pada lambung disebut tukak lambung, sedangkan tukak pada usus bagian pertama disebut tukak duodenum."
Wasir dimorfik (ambeien),"Wasir, juga dieja wasir, adalah struktur pembuluh darah di saluran anus. Dalam ... Nama lain, Wasir, Ambeien, Penyakit Ambeien ."
Flu biasa,"Pilek adalah infeksi virus pada hidung dan tenggorokan (saluran pernapasan bagian atas). Biasanya tidak berbahaya, meski mungkin tidak terasa seperti itu. Banyak jenis virus yang dapat menyebabkan flu biasa."
Cacar air,"Cacar air adalah penyakit sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Hal ini dapat menyebabkan ruam yang gatal dan seperti melepuh. Ruam pertama kali muncul di dada, punggung, dan wajah, lalu menyebar ke seluruh tubuh, menyebabkan antara 250 hingga 500 lepuh yang gatal."
Spondylosis serviks,"Spondylosis serviks adalah istilah umum untuk kerusakan terkait usia yang mempengaruhi cakram tulang belakang di leher Anda. Ketika cakram mengalami dehidrasi dan menyusut, tanda-tanda osteoartritis berkembang, termasuk tonjolan tulang di sepanjang tepi tulang (taji tulang)."
Hipertiroidisme,"Hipertiroidisme (tiroid terlalu aktif) terjadi ketika kelenjar tiroid Anda memproduksi terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur."
Infeksi saluran kemih,"Infeksi saluran kemih: Infeksi pada ginjal, ureter, kandung kemih, atau uretra. Disingkat ISK. Tidak semua orang yang mengidap ISK mempunyai gejala, namun gejala umumnya berupa sering ingin buang air kecil dan nyeri atau rasa terbakar saat buang air kecil."
Pembuluh mekar,"Pembuluh darah vena yang membesar dan terpelintir, seringkali tampak sebagai pembuluh darah biru yang menonjol dan terlihat jelas melalui kulit. Varises paling sering terjadi pada orang lanjut usia, khususnya wanita, dan terjadi terutama pada kaki."
AIDS,"Acquired immunodeficiency syndrome (AIDS) adalah suatu kondisi kronis yang berpotensi mengancam jiwa yang disebabkan oleh human immunodeficiency virus (HIV). Dengan merusak sistem kekebalan Anda, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit."
Kelumpuhan (pendarahan otak),"Pendarahan intraserebral (ICH) terjadi ketika darah tiba-tiba masuk ke jaringan otak, menyebabkan kerusakan pada otak Anda. Gejala biasanya muncul tiba-tiba saat ICH. Gejalanya termasuk sakit kepala, kelemahan, kebingungan, dan kelumpuhan, terutama pada satu sisi tubuh Anda."
Penyakit tipus,"Penyakit akut yang ditandai dengan demam akibat infeksi bakteri Salmonella typhi. Demam tifoid mempunyai gejala yang lambat, disertai demam, sakit kepala, konstipasi, malaise, menggigil, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah."
Hepatitis B,"Hepatitis B adalah infeksi hati Anda. Hal ini dapat menyebabkan jaringan parut pada organ, gagal hati, dan kanker. Ini bisa berakibat fatal jika tidak diobati. Penyakit ini menyebar ketika orang bersentuhan dengan darah, luka terbuka, atau cairan tubuh seseorang yang mengidap virus hepatitis B."
Infeksi jamur,"Pada manusia, infeksi jamur terjadi ketika jamur yang menyerang mengambil alih suatu area tubuh dan jumlahnya terlalu banyak sehingga tidak dapat ditangani oleh sistem kekebalan tubuh. Jamur dapat hidup di udara, tanah, air, dan tumbuhan. Ada juga beberapa jamur yang hidup secara alami di tubuh manusia. Seperti kebanyakan mikroba, ada jamur bermanfaat dan jamur berbahaya."
Hepatitis C,"Peradangan hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang), hemodialisis, dan tusukan jarum suntik. Kerusakan yang disebabkan oleh hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya serta kanker."
Migrain,"Migrain dapat menyebabkan nyeri berdenyut parah atau sensasi berdenyut, biasanya pada satu sisi kepala. Seringkali disertai mual, muntah, dan kepekaan ekstrim terhadap cahaya dan suara. Serangan migrain bisa berlangsung berjam-jam hingga berhari-hari, dan rasa sakitnya bisa sangat parah hingga mengganggu aktivitas sehari-hari."
