Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Gejala_5,Gejala_6,Gejala_7,Gejala_8,Gejala_9,Gejala_10,Gejala_11,Gejala_12,Gejala_13,Gejala_14,Gejala_15,Gejala_16,Gejala_17
Infeksi jamur,gatal, ruam kulit, nodal_skin_erupsi, _patches dischromic,,,,,,,,,,,,,
Infeksi jamur, ruam kulit, nodal_skin_erupsi, _patches dischromic,,,,,,,,,,,,,,
Infeksi jamur,gatal, nodal_skin_erupsi, _patches dischromic,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam kulit, _patches dischromic,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam kulit, nodal_skin_erupsi,,,,,,,,,,,,,,
Infeksi jamur, ruam kulit, nodal_skin_erupsi, _patches dischromic,,,,,,,,,,,,,,
Infeksi jamur,gatal, nodal_skin_erupsi, _patches dischromic,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam kulit, _patches dischromic,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam kulit, nodal_skin_erupsi,,,,,,,,,,,,,,
Infeksi jamur,gatal, ruam kulit, nodal_skin_erupsi, _patches dischromic,,,,,,,,,,,,,
Alergi, terus menerus_bersin, gemetaran, panas dingin, penyiraman_dari_mata,,,,,,,,,,,,,
Alergi, gemetaran, panas dingin, penyiraman_dari_mata,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, panas dingin, penyiraman_dari_mata,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, gemetaran, penyiraman_dari_mata,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, gemetaran, panas dingin,,,,,,,,,,,,,,
Alergi, gemetaran, panas dingin, penyiraman_dari_mata,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, panas dingin, penyiraman_dari_mata,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, gemetaran, penyiraman_dari_mata,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, gemetaran, panas dingin,,,,,,,,,,,,,,
Alergi, terus menerus_bersin, gemetaran, panas dingin, penyiraman_dari_mata,,,,,,,,,,,,,
GERD, sakit perut, keasaman, bisul_di_lidah, muntah, batuk, nyeri dada,,,,,,,,,,,
GERD, sakit perut, bisul_di_lidah, muntah, batuk, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, keasaman, muntah, batuk, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, keasaman, bisul_di_lidah, batuk, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, keasaman, bisul_di_lidah, muntah, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, keasaman, bisul_di_lidah, muntah, batuk,,,,,,,,,,,,
GERD, keasaman, bisul_di_lidah, muntah, batuk, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, bisul_di_lidah, muntah, batuk, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, keasaman, muntah, batuk, nyeri dada,,,,,,,,,,,,
GERD, sakit perut, keasaman, bisul_di_lidah, batuk, nyeri dada,,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,
Kolestasis kronis, muntah, kulit_kekuningan, mual, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,,
Kolestasis kronis,gatal, kulit_kekuningan, mual, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, mual, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, sakit perut, mata_menguning,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan selera makan, mata_menguning,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan selera makan, sakit perut,,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,
Kolestasis kronis,gatal, muntah, kulit_kekuningan, mual, kehilangan selera makan, sakit perut, mata_menguning,,,,,,,,,,
Reaksi Obat,gatal, ruam kulit, sakit perut, pembakaran_kemih, bercak_ buang air kecil,,,,,,,,,,,,
Reaksi Obat,gatal, sakit perut, pembakaran_kemih, bercak_ buang air kecil,,,,,,,,,,,,,
Reaksi Obat,gatal, ruam kulit, pembakaran_kemih, bercak_ buang air kecil,,,,,,,,,,,,,
Reaksi Obat,gatal, ruam kulit, sakit perut, bercak_ buang air kecil,,,,,,,,,,,,,
Reaksi Obat,gatal, ruam kulit, sakit perut, pembakaran_kemih,,,,,,,,,,,,,
Reaksi Obat, ruam kulit, sakit perut, pembakaran_kemih, bercak_ buang air kecil,,,,,,,,,,,,,
Reaksi Obat,gatal, sakit perut, pembakaran_kemih, bercak_ buang air kecil,,,,,,,,,,,,,
